node,R,G,B
2303,1.25,254.25,255.0
2304,10.5,251.0,251.75
2305,0.0,53.5,57.0
2306,2.8,87.0,123.5
2307,16.8,107.2,116.8
2308,0.0,86.75,138.5
2309,3.4,77.6,133.4
2310,10.714285714285714,98.71428571428571,123.71428571428571
2311,9.166666666666666,138.58333333333334,92.5
2312,31.333333333333332,239.16666666666666,254.66666666666666
2313,20.666666666666668,139.33333333333334,174.0
2314,1.6,82.4,130.2
2315,3.4,251.4,12.4
2316,2.25,251.5,10.75
2317,27.666666666666668,232.33333333333334,55.333333333333336
2318,12.666666666666666,78.77777777777777,117.0
2319,9.5,246.75,14.75
2320,40.0,235.14285714285714,253.14285714285714
2321,0.0,90.5,137.5
2322,2.3333333333333335,87.0,136.66666666666666
2323,37.333333333333336,125.66666666666667,171.33333333333334
2324,18.0,95.85714285714286,151.42857142857142
2342,44.0,162.33333333333334,109.0
2343,0.0,111.5,53.5
2344,3.5,79.5,134.0
2345,0.0,106.0,54.0
2346,19.5,158.25,78.75
2347,4.0,251.28571428571428,8.0
2348,20.5,69.5,142.5
2349,11.666666666666666,148.0,53.0
2350,0.6,80.0,139.2
2351,45.25,234.25,245.0
2352,38.857142857142854,166.28571428571428,159.14285714285714
2353,6.333333333333333,115.0,106.83333333333333
2354,16.3,71.5,132.6
2355,16.88888888888889,69.77777777777777,140.0
2356,7.0,120.6,75.4
2357,29.857142857142858,242.28571428571428,254.42857142857142
2358,0.0,93.0,115.0
2359,7.0,134.6,44.8
2360,3.5,81.5,99.5
2361,3.6666666666666665,253.16666666666666,5.666666666666667
2362,38.7,205.2,229.2
2363,4.333333333333333,76.66666666666667,139.33333333333334
2364,16.0,70.11111111111111,136.88888888888889
2365,12.6,73.0,133.6
2366,10.5,74.16666666666667,135.5
2383,0.0,28.666666666666668,0.0
2384,39.0,197.33333333333334,80.0
2385,2.75,81.75,135.25
2386,10.5,77.33333333333333,139.33333333333334
2387,12.25,73.0,133.5
2388,0.0,88.66666666666667,84.66666666666667
2389,0.0,95.0,111.5
2390,0.0,98.5,133.5
2391,7.571428571428571,248.85714285714286,14.714285714285714
2392,29.0,227.5,64.5
2393,0.0,95.25,78.5
2394,18.0,238.5,45.0
2395,2.6666666666666665,252.33333333333334,5.666666666666667
2396,30.0,230.0,60.0
2397,0.0,99.6,138.0
2398,8.0,250.0,255.0
2399,7.5,252.0,251.16666666666666
2400,0.0,94.0,70.0
2401,31.0,225.0,66.33333333333333
2402,9.0,133.30769230769232,95.92307692307692
2403,56.6,227.6,253.0
2404,23.5,232.0,50.5
2405,5.8,250.0,8.8
2406,19.454545454545453,68.9090909090909,137.1818181818182
2407,9.4,115.6,89.8
2408,6.333333333333333,251.66666666666666,14.666666666666666
2409,9.5,228.0,28.875
2410,21.333333333333332,184.66666666666666,70.66666666666667
2411,0.5,85.25,127.75
2412,6.0,98.81818181818181,109.0909090909091
2413,10.571428571428571,75.14285714285714,129.85714285714286
2414,0.0,5.0,31.0
2415,16.833333333333332,33.833333333333336,30.166666666666668
2432,0.0,98.0,102.0
2433,15.333333333333334,71.5,139.83333333333334
2434,15.75,70.875,139.375
2435,3.75,76.25,137.5
2436,81.33333333333333,214.33333333333334,255.0
2437,71.5,217.5,254.0
2438,0.0,82.5,113.5
2439,14.166666666666666,74.33333333333333,127.33333333333333
2440,8.25,130.0,75.25
2441,47.0,233.0,254.0
2442,6.166666666666667,114.66666666666667,108.91666666666667
2443,0.5,89.0,92.5
2444,54.0,210.5,112.5
2445,1.0,90.5,93.5
2446,2.5714285714285716,251.42857142857142,12.285714285714286
2447,6.857142857142857,252.0,254.0
2448,2.5833333333333335,85.5,132.33333333333334
2449,0.0,95.0,81.66666666666667
2450,29.5,227.0,66.0
2451,8.6,121.8,75.4
2452,3.875,79.875,133.125
2468,28.181818181818183,174.8181818181818,96.0
2469,49.25,230.5,252.75
2470,9.166666666666666,107.33333333333333,158.66666666666666
2471,69.0,220.0,252.66666666666666
2472,90.0,211.0,254.0
2473,5.75,249.25,10.75
